Characteristic Levels,Year,Estimate
Age 85+ years,2022,2248715
Age 65-84 years,2022,7568806
Age 45-64 years,2022,5437222
Age 18-44 years,2022,3862971
Age 1-17 years,2022,682254
Age 0 years,2022,231061
Age 85+ years,2021,2065143
Age 65-84 years,2021,7109004
Age 45-64 years,2021,5709451
Age 18-44 years,2021,3985347
Age 1-17 years,2021,571551
Age 0 years,2021,166660
Age 85+ years,2020,2202161
Age 65-84 years,2020,7235461
Age 45-64 years,2020,5866630
Age 18-44 years,2020,4022566
Age 1-17 years,2020,594191
Age 0 years,2020,169966
Age 85+ years,2019,2370252
Age 65-84 years,2019,7303231
Age 45-64 years,2019,5868821
Age 18-44 years,2019,3955508
Age 1-17 years,2019,652205
Age 0 years,2019,223249
Age 85+ years,2018,2388843
Age 65-84 years,2018,7035091
Age 45-64 years,2018,5762017
Age 18-44 years,2018,3837203
Age 1-17 years,2018,778390
Age 0 years,2018,260129
Age 85+ years,2017,2469220
Age 65-84 years,2017,7020346
Age 45-64 years,2017,5912812
Age 18-44 years,2017,3988132
Age 1-17 years,2017,647843
Age 0 years,2017,202684
Age 85+ years,2016,2271200
Age 65-84 years,2016,6423646
Age 45-64 years,2016,5557177
Age 18-44 years,2016,3705699
Age 1-17 years,2016,760621
Age 0 years,2016,233009
